id_daftar_sekolah,sekolah_asal,tipe_sekolah_asal,kodepos_sekolah,jenis_sekolah,is_deleted,tanggal_input,tanggal_update,id_lokasi
725,SMA NEGERI 1 BINTUNI,NEGERI,98364,SMA,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,491
726,SMA WARGA SURAKARTA,SWASTA,57128,SMA,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,211
727,SMA NEGERI 3 MALINAU UTARA,NEGERI,77554,SMA,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,345
728,SMA METHODIST JAKARTA,SWASTA,14450,SMA,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,155
729,SMA NEGERI 1 HAHARU,NEGERI,87153,SMA,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,288
730,SMA SINAR KASIH,SWASTA,78611,SMA,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,296
731,SMA NEGERI 1 KARIMUN,NEGERI,29661,SMA,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,153
732,SMA NEGERI 98 JAKARTA,SWASTA,13790,SMA,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,157
733,SMA NEGERI 1 SELIMBAU,NEGERI,78765,SMA,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,302
734,SMA NEGERI 10 PALEMBANG,NEGERI,30138,SMA,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,101
735,SMA SEMINARI SANTO PAULUS,SWASTA,55283,SMA,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,304
736,SMA NEGERI 1 KEDUNGWARU,NEGERI,66224,SMA,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,240
737,SMA NEGERI 1 SANDAI,NEGERI,78871,SMA,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,295
738,SMK NEGERI 1 OKU,NEGERI,32121,SMK,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,110
739,SAO PEDRO,SWASTA,1,LUAR NEGERI,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,2
740,SMA KATOLIK YAN SMIT,SWASTA,99777,SMA,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,454
741,SMA NEGERI BINSUS KOTA DUMAI,NEGERI,28826,SMA,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,88
742,SMA NEGERI 1 KOTA JAMBI,NEGERI,36124,SMA,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,99
743,SMA NEGERI 9 PEKANBARU,NEGERI,28156,SMA,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,81
744,SMA KARTIKA XX-2 KENDARI,SWASTA,93121,SMA,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,408
